Compresa,Particella,Area saggio,n,poll,D(cm),Classe diametrica,h(m),Genere,Fustaia,G(m2),V(m3),Ipr(mm),c(1/a),Pv(%/a),PvxV(m3/a)
Capistrano,10a,34,23,1,8,1,8.000000,Castagno,False,0.010000,0.022658,28.000000,200.000000,14.000000,0.000000
Capistrano,10a,34,23,2,6,1,6.000000,Castagno,False,0.000000,0.010357,28.000000,200.000000,18.670000,0.000000
Capistrano,10a,34,24,1,8,1,8.000000,Castagno,False,0.010000,0.022658,28.000000,200.000000,14.000000,0.000000
Capistrano,10a,34,24,2,8,1,8.000000,Castagno,False,0.010000,0.022658,28.000000,200.000000,14.000000,0.000000
Capistrano,10a,34,24,3,6,1,6.000000,Castagno,False,0.000000,0.010357,28.000000,200.000000,18.670000,0.000000
Capistrano,10a,34,24,4,8,1,8.000000,Castagno,False,0.010000,0.022658,28.000000,200.000000,14.000000,0.000000
Capistrano,10a,34,24,5,6,1,6.000000,Castagno,False,0.000000,0.010357,28.000000,200.000000,18.670000,0.000000
Capistrano,10b,36,1,1,6,1,6.000000,Castagno,False,0.000000,0.010357,,,2.000000,0.000000
Capistrano,10b,36,1,2,8,1,8.000000,Castagno,False,0.010000,0.022658,,,2.000000,0.000000
Capistrano,10b,36,1,3,6,1,6.000000,Castagno,False,0.000000,0.010357,,,2.000000,0.000000
Capistrano,10b,36,1,4,8,1,8.000000,Castagno,False,0.010000,0.022658,,,2.000000,0.000000
Capistrano,10b,36,2,1,8,1,8.000000,Castagno,False,0.010000,0.022658,,,2.000000,0.000000
Capistrano,10b,36,2,2,6,1,6.000000,Castagno,False,0.000000,0.010357,,,2.000000,0.000000
Capistrano,10b,36,2,3,6,1,6.000000,Castagno,False,0.000000,0.010357,,,2.000000,0.000000
Capistrano,10b,36,2,4,8,1,8.000000,Castagno,False,0.010000,0.022658,,,2.000000,0.000000
Capistrano,10b,36,2,5,8,1,8.000000,Castagno,False,0.010000,0.022658,,,2.000000,0.000000
Capistrano,10b,36,3,1,6,1,6.000000,Castagno,False,0.000000,0.010357,,,2.000000,0.000000
Capistrano,10b,36,3,2,8,1,8.000000,Castagno,False,0.010000,0.022658,,,2.000000,0.000000
Capistrano,10b,36,3,3,6,1,6.000000,Castagno,False,0.000000,0.010357,,,2.000000,0.000000
Capistrano,10b,36,3,4,8,1,8.000000,Castagno,False,0.010000,0.022658,,,2.000000,0.000000
Capistrano,10b,36,3,mat,10,2,8.000000,Castagno,False,0.010000,0.034666,,,2.000000,0.000000
Capistrano,10b,36,4,1,6,1,6.000000,Castagno,False,0.000000,0.010357,,,2.000000,0.000000
Capistrano,10b,36,4,2,8,1,8.000000,Castagno,False,0.010000,0.022658,,,2.000000,0.000000
Capistrano,10b,36,4,3,6,1,6.000000,Castagno,False,0.000000,0.010357,,,2.000000,0.000000
Capistrano,10b,36,4,4,8,1,8.000000,Castagno,False,0.010000,0.022658,,,2.000000,0.000000
Capistrano,10b,36,4,5,6,1,6.000000,Castagno,False,0.000000,0.010357,,,2.000000,0.000000
Capistrano,10b,36,5,1,8,1,8.000000,Castagno,False,0.010000,0.022658,,,2.000000,0.000000
Capistrano,10b,36,5,2,6,1,6.000000,Castagno,False,0.000000,0.010357,,,2.000000,0.000000
Capistrano,10b,36,5,3,8,1,8.000000,Castagno,False,0.010000,0.022658,,,2.000000,0.000000
