Compresa,Particella,Area saggio,n,poll,D(cm),Classe diametrica,h(m),Genere,Fustaia,G(m2),V(m3),Ipr(mm),c(1/a),Pv(%/a),PvxV(m3/a)
Capistrano,3,12,11,,34,7,27.000000,Faggio,True,0.090000,1.216987,27.000000,200.000000,3.180000,0.040000
Capistrano,3,12,12,,31,6,27.000000,Faggio,True,0.080000,1.011836,27.000000,200.000000,3.480000,0.040000
Capistrano,3,12,13,,14,3,14.297856,Abete,True,0.020000,0.109784,25.000000,200.000000,7.140000,0.000000
Capistrano,3,12,14,,32,6,27.000000,Faggio,True,0.080000,1.078116,27.000000,200.000000,3.380000,0.040000
Capistrano,3,12,15,,34,7,27.000000,Faggio,True,0.090000,1.216987,27.000000,200.000000,3.180000,0.040000
Capistrano,3,12,16,,31,6,19.886690,Abete,True,0.080000,0.733629,25.000000,200.000000,3.230000,0.030000
Capistrano,3,12,17,,34,7,20.536130,Abete,True,0.090000,0.909957,25.000000,200.000000,2.940000,0.040000
Capistrano,3,12,18,,28,5,19.171097,Abete,True,0.060000,0.578024,25.000000,200.000000,3.570000,0.030000
Capistrano,3,12,19,,28,5,27.000000,Faggio,True,0.060000,0.825623,27.000000,200.000000,3.860000,0.030000
Capistrano,3,12,20,,29,6,27.000000,Faggio,True,0.070000,0.885590,27.000000,200.000000,3.720000,0.030000
Capistrano,3,12,21,,28,5,27.000000,Ciliegio,True,0.060000,0.674809,27.000000,200.000000,3.860000,0.030000
Capistrano,3,12,22,,34,7,27.000000,Faggio,True,0.090000,1.216987,27.000000,200.000000,3.180000,0.040000
Capistrano,3,12,23,,32,6,23.853594,Douglas,True,0.080000,0.845439,25.000000,200.000000,3.130000,0.030000
Capistrano,3,12,24,,35,7,27.000000,Faggio,True,0.100000,1.289579,27.000000,200.000000,3.090000,0.040000
Capistrano,3,3,1,,59,12,27.777594,Pino Nero,True,0.270000,3.384354,30.000000,200.000000,2.030000,0.070000
Capistrano,3,3,2,,23,4,19.754118,Pino Nero,True,0.040000,0.394952,30.000000,200.000000,5.220000,0.030000
Capistrano,3,3,3,,36,7,25.705226,Douglas,True,0.100000,1.146663,35.000000,200.000000,3.890000,0.050000
Capistrano,3,3,4,,55,11,32.367883,Douglas,True,0.240000,3.323736,35.000000,200.000000,2.550000,0.080000
Capistrano,3,3,5,,42,8,28.128583,Douglas,True,0.140000,1.697627,35.000000,200.000000,3.330000,0.060000
