Compresa,Particella,Area saggio,n,poll,D(cm),Classe diametrica,h(m),Genere,Fustaia,G(m2),V(m3),Ipr(mm),c(1/a),Pv(%/a),PvxV(m3/a),,
Capistrano,10a,34,10,1,8,1,8,Castagno,FALSE,0.01,0.02,28,200,14.00,0.00,,
Capistrano,10a,34,10,2,6,1,6,Castagno,FALSE,0.00,0.01,28,200,18.67,0.00,,
Capistrano,10a,34,11,1,8,1,8,Castagno,FALSE,0.01,0.02,28,200,14.00,0.00,,
Capistrano,10a,34,11,3,8,1,8,Castagno,FALSE,0.01,0.02,28,200,14.00,0.00,,
Capistrano,10a,34,11,4,8,1,8,Castagno,FALSE,0.01,0.02,28,200,14.00,0.00,,
Capistrano,10a,34,11,5,6,1,6,Castagno,FALSE,0.00,0.01,28,200,18.67,0.00,,
Capistrano,10a,34,12,1,6,1,6,Castagno,FALSE,0.00,0.01,28,200,18.67,0.00,,
Capistrano,10a,34,12,2,8,1,8,Castagno,FALSE,0.01,0.02,28,200,14.00,0.00,,
Capistrano,10a,34,12,3,8,1,8,Castagno,FALSE,0.01,0.02,28,200,14.00,0.00,,
Capistrano,10a,34,12,4,6,1,6,Castagno,FALSE,0.00,0.01,28,200,18.67,0.00,,
Capistrano,10a,34,13,1,6,1,6,Castagno,FALSE,0.00,0.01,28,200,18.67,0.00,,
Capistrano,10a,34,13,2,8,1,8,Castagno,FALSE,0.01,0.02,28,200,14.00,0.00,,
Capistrano,10a,34,13,3,6,1,6,Castagno,FALSE,0.00,0.01,28,200,18.67,0.00,,
Capistrano,10a,34,13,4,8,1,8,Castagno,FALSE,0.01,0.02,28,200,14.00,0.00,,
Capistrano,10a,34,14,1,8,1,8,Castagno,FALSE,0.01,0.02,28,200,14.00,0.00,,
Capistrano,10a,34,14,2,6,1,6,Castagno,FALSE,0.00,0.01,28,200,18.67,0.00,,
Capistrano,10a,34,14,3,8,1,8,Castagno,FALSE,0.01,0.02,28,200,14.00,0.00,,
Capistrano,10a,34,15,1,8,1,6,Castagno,FALSE,0.01,0.02,28,200,14.00,0.00,,
Capistrano,10a,34,15,2,6,1,6,Castagno,FALSE,0.00,0.01,28,200,18.67,0.00,,
Capistrano,10a,34,15,3,6,1,6,Castagno,FALSE,0.00,0.01,28,200,18.67,0.00,,
Capistrano,10a,34,15,4,8,1,8,Castagno,FALSE,0.01,0.02,28,200,14.00,0.00,,
